Year,AgeGroup,Overdoses
1999,15-19,11
1999,20-24,43
1999,25-29,39
1999,30-34,23
1999,35-39,29
1999,40-44,27
1999,45-49,20
1999,50-54,6
1999,55-59,5
1999,60-64,0
1999,65+,1
1999,Total,204
2000,15-19,30
2000,20-24,116
2000,25-29,106
2000,30-34,100
2000,35-39,92
2000,40-44,92
2000,45-49,62
2000,50-54,26
2000,55-59,3
2000,60-64,8
2000,65+,0
2000,Total,635
2001,15-19,42
2001,20-24,124
2001,25-29,109
2001,30-34,94
2001,35-39,98
2001,40-44,81
2001,45-49,69
2001,50-54,27
2001,55-59,15
2001,60-64,2
2001,65+,2
2001,Total,663
2002,15-19,44
2002,20-24,170
2002,25-29,125
2002,30-34,108
2002,35-39,83
2002,40-44,85
2002,45-49,64
2002,50-54,36
2002,55-59,14
2002,60-64,6
2002,65+,3
2002,Total,738
2003,15-19,44
2003,20-24,149
2003,25-29,90
2003,30-34,102
2003,35-39,93
2003,40-44,79
2003,45-49,60
2003,50-54,30
2003,55-59,9
2003,60-64,3
2003,65+,2
2003,Total,661
2004,15-19,54
2004,20-24,121
2004,25-29,124
2004,30-34,106
2004,35-39,84
2004,40-44,84
2004,45-49,72
2004,50-54,31
2004,55-59,13
2004,60-64,1
2004,65+,1
2004,Total,691
2005,15-19,48
2005,20-24,121
2005,25-29,150
2005,30-34,85
2005,35-39,81
2005,40-44,75
2005,45-49,52
2005,50-54,43
2005,55-59,9
2005,60-64,5
2005,65+,3
2005,Total,672
2006,15-19,36
2006,20-24,108
2006,25-29,135
2006,30-34,94
2006,35-39,78
2006,40-44,91
2006,45-49,65
2006,50-54,43
2006,55-59,24
2006,60-64,3
2006,65+,1
2006,Total,678
2007,15-19,38
2007,20-24,148
2007,25-29,118
2007,30-34,94
2007,35-39,102
2007,40-44,65
2007,45-49,60
2007,50-54,42
2007,55-59,18
2007,60-64,5
2007,65+,2
2007,Total,692
2008,15-19,44
2008,20-24,154
2008,25-29,174
2008,30-34,113
2008,35-39,89
2008,40-44,82
2008,45-49,49
2008,50-54,44
2008,55-59,19
2008,60-64,1
2008,65+,2
2008,Total,771
2009,15-19,53
2009,20-24,208
2009,25-29,213
2009,30-34,144
2009,35-39,122
2009,40-44,88
2009,45-49,76
2009,50-54,62
2009,55-59,34
2009,60-64,7
2009,65+,5
2009,Total,1012
2010,15-19,41
2010,20-24,174
2010,25-29,191
2010,30-34,148
2010,35-39,109
2010,40-44,106
2010,45-49,75
2010,50-54,47
2010,55-59,34
2010,60-64,11
2010,65+,5
2010,Total,941
2011,15-19,44
2011,20-24,189
2011,25-29,210
2011,30-34,160
2011,35-39,89
2011,40-44,75
2011,45-49,57
2011,50-54,37
2011,55-59,40
2011,60-64,21
2011,65+,3
2011,Total,925
2012,15-19,45
2012,20-24,236
2012,25-29,259
2012,30-34,177
2012,35-39,134
2012,40-44,106
2012,45-49,75
2012,50-54,56
2012,55-59,37
2012,60-64,9
2012,65+,7
2012,Total,1141
2013,15-19,75
2013,20-24,416
2013,25-29,352
2013,30-34,319
2013,35-39,189
2013,40-44,155
2013,45-49,120
2013,50-54,87
2013,55-59,49
2013,60-64,11
2013,65+,5
2013,Total,1778
2014,15-19,79
2014,20-24,432
2014,25-29,474
2014,30-34,365
2014,35-39,197
2014,40-44,136
2014,45-49,93
2014,50-54,76
2014,55-59,38
2014,60-64,17
2014,65+,4
2014,Total,1911
2015,15-19,65
2015,20-24,518
2015,25-29,545
2015,30-34,420
2015,35-39,233
2015,40-44,142
2015,45-49,117
2015,50-54,85
2015,55-59,58
2015,60-64,22
2015,65+,5
2015,Total,2210
2016,15-19,70
2016,20-24,519
2016,25-29,642
2016,30-34,479
2016,35-39,352
2016,40-44,177
2016,45-49,142
2016,50-54,95
2016,55-59,71
2016,60-64,31
2016,65+,10
2016,Total,2588
2017,15-19,46
2017,20-24,439
2017,25-29,593
2017,30-34,463
2017,35-39,344
2017,40-44,218
2017,45-49,155
2017,50-54,121
2017,55-59,72
2017,60-64,31
2017,65+,22
2017,Total,2504